,neno,tag,uwingi,word
0,a,preposition,,of (a + noun used to form possessives)
1,a,preposition,,of (a + noun used to form adjectives)
2,a,interjection,,expresses joy
3,a,interjection,,expresses pain
4,a,interjection,,expresses surprise
5,aa,interjection,,expresses joy
6,aa,interjection,,expresses pain
7,aa,interjection,,expresses surprise
8,aali,adjective,,excellent
9,aali,adjective,,firstclass
10,aali,adjective,,good
11,aasi,verb,,be disobedient
12,aasi,verb,,not meet an obligation
13,aasi,verb,,rebel
14,aasi,verb,,revolt
15,aasi,noun 5/6,maasi,rebellion
16,aasi,noun 5/6,maasi,revolt
17,abadan,adverb,,never
18,abadan,interjection,,Make way!
19,abadi,adverb,,always
20,abadi,adverb,,constantly
21,abd,noun 9/10an,abd,servant
22,abd,noun 9/10an,abd,slave
23,Abdallah,noun,,Abdullah
24,abe,interjection,,At your service!
25,abe,interjection,,Yes ma'am!
26,abe,interjection,,Yes sir!
27,abedari,interjection,,Look out!
28,abedari,interjection,,Take care!
29,abedari,interjection,,Watch out!
30,abedari,noun 9/10,abedari,hows)
31,abee,interjection,,at your service
32,abee,interjection,,I am coming
33,abee,interjection,,Yes sir!
34,abee,interjection,,Yes ma'am!
35,abidi,adverb,,always
36,abidi,adverb,,constantly
37,abidi,adverb,,rare
38,abiri,verb,,cross (river or lake or sea)
39,abiri,verb,,go (i
40,abiri,verb,,pass over
41,abiri,verb,,travel (as passenger)
42,abiri,verb,,travel (by sea)
43,abiria,verb,,travel to
44,abiria,noun 9/10an,maabiria,passenger
45,abirika,verb,,travel
46,abirisha,verb,,convey (as passenger)
47,abirisha,verb,,cause to travel
48,abiriwa,verb,,be crossed (i
49,abiriwa,verb,,be passed over (i
50,abiriwa,verb,,be travelled (i
51,abos,interjection,,exclamation of admiration
52,abu,noun 9/10an,abu,father
53,abudi,noun 9/10,abudi,alternative
54,abudi,noun 9/10,abudi,evasion
55,abudi,noun 9/10,abudi,loophole
56,abudi,noun 9/10,abudi,ut
